,molecule_chembl_id,canonical_smiles,pchembl_value_mean,pchembl_value_std,inchi
0,142,Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OC3CCc4[nH]ncc4C3)nc12,5.053234,0.0,"InChI=1S/C30H27ClFN7O/c31-23-6-2-4-16-3-1-5-21(25(16)23)27-26(32)28-22(13-33-27)29(39-14-18-7-8-19(15-39)35-18)37-30(36-28)40-20-9-10-24-17(11-20)12-34-38-24/h1-6,12-13,18-20,35H,7-11,14-15H2,(H,34,38)"
1,138,COC(C)COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,5.093245,0.0,"InChI=1S/C27H27ClFN5O2/c1-15(35-2)14-36-27-32-25-20(26(33-27)34-12-17-9-10-18(13-34)31-17)11-30-24(23(25)29)19-7-3-5-16-6-4-8-21(28)22(16)19/h3-8,11,15,17-18,31H,9-10,12-14H2,1-2H3"
2,421,CC(C)c1ncccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F,5.110883,0.0,"InChI=1S/C29H35F2N7O/c1-17(2)24-21(5-3-9-32-24)25-23(31)26-22(12-33-25)27(37-14-19-6-7-20(15-37)34-19)36-28(35-26)39-16-29-8-4-10-38(29)13-18(30)11-29/h3,5,9,12,17-20,34H,4,6-8,10-11,13-16H2,1-2H3"
3,577,CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1c(F)c(O)c(F)c3ccccc13)C2,5.168245,0.0,"InChI=1S/C29H34F2N6O2/c1-35-11-4-5-19(35)16-39-29-33-23-15-36(26-21-7-3-2-6-20(21)24(30)27(38)25(26)31)12-10-22(23)28(34-29)37-13-17-8-9-18(14-37)32-17/h2-3,6-7,17-19,32,38H,4-5,8-16H2,1H3"
4,147,Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCCn3cccn3)nc12,5.230904,0.0,"InChI=1S/C28H25ClFN7O/c29-22-7-2-5-17-4-1-6-20(23(17)22)25-24(30)26-21(14-31-25)27(36-15-18-8-9-19(16-36)33-18)35-28(34-26)38-13-12-37-11-3-10-32-37/h1-7,10-11,14,18-19,33H,8-9,12-13,15-16H2"
5,148,Cn1cnc2ccc(Oc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)cc21,5.28567,0.0,"InChI=1S/C31H25ClFN7O/c1-39-16-35-24-11-10-20(12-25(24)39)41-31-37-29-22(30(38-31)40-14-18-8-9-19(15-40)36-18)13-34-28(27(29)33)21-6-2-4-17-5-3-7-23(32)26(17)21/h2-7,10-13,16,18-19,36H,8-9,14-15H2,1H3"
6,264,Fc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,5.328004,0.0,"InChI=1S/C27H30F2N6O/c28-21-6-2-1-5-19(21)23-22(29)24-20(13-30-23)25(34-14-17-7-8-18(15-34)31-17)33-26(32-24)36-16-27-9-3-11-35(27)12-4-10-27/h1-2,5-6,13,17-18,31H,3-4,7-12,14-16H2"
7,61,O=C(O)CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,5.389234,0.0,"InChI=1S/C26H23ClFN5O3/c27-19-6-2-4-14-3-1-5-17(21(14)19)23-22(28)24-18(11-29-23)25(32-26(31-24)36-10-9-20(34)35)33-12-15-7-8-16(13-33)30-15/h1-6,11,15-16,30H,7-10,12-13H2,(H,34,35)"
8,635,CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(CCCCO)c13)C2,5.433103,0.0,"InChI=1S/C33H44N6O2/c1-37-16-6-11-27(37)22-41-33-35-29-21-38(17-15-28(29)32(36-33)39-19-25-13-14-26(20-39)34-25)30-12-5-10-24-9-4-8-23(31(24)30)7-2-3-18-40/h4-5,8-10,12,25-27,34,40H,2-3,6-7,11,13-22H2,1H3"
9,267,Oc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,5.486569,0.0,"InChI=1S/C27H31FN6O2/c28-22-23(19-5-1-2-6-21(19)35)29-13-20-24(22)31-26(36-16-27-9-3-11-34(27)12-4-10-27)32-25(20)33-14-17-7-8-18(15-33)30-17/h1-2,5-6,13,17-18,30,35H,3-4,7-12,14-16H2"
