	id	canonical_smiles	pIC50_mean	pIC50_std
126	142	Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OC3CCc4[nH]ncc4C3)nc12	5.0532336	0
71	83	O=C1CCC2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)CCCN12	5.060735	0
52	62	O=Cc1cc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)ccc1O	5.0753384	0
240	261	NCCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.0807023	0
89	101	Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCCc5cccnc5)nc4c3F)c12	5.0925026	0
122	138	COC(C)COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.093245	0
375	402	CC(C)(O)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F	5.095956	0
74	86	COc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)cn1	5.10128	0
536	567	CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3c(Cl)cccc13)C2	5.10212	0
542	574	COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(C)c13)C2	5.104434	0
394	421	CC(C)c1ncccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F	5.110883	0
195	213	O=C(NCCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1)c1cccc(S(=O)(=O)F)c1	5.123263	0
570	610	Nc1nc(N2CCc3c(nc(OCC4CCCN4)nc3N3CC4CCC(C3)N4)C2)c2ccccc2n1	5.124939	0
48	57	OCC(O)CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.137517	0
